param a :=
  1    -24345
  2  -8720288.849
  3    150512.5253
  4      -156.6950325
  5    476470.3222
  6    729482.8271
  7   -145421.402
  8      2931.1506
  9       -40.427932
 10      5106.192
 11     15711.36
 12   -155011.1084
 13      4360.53352
 14        12.9492344
 15     10236.884
 16     13176.786
 17   -326669.5104
 18      7390.68412
 19       -27.8986976
 20     16643.076
 21     30988.146
  ;

param l :=
  1   0
  2   1.2
  3  20
  4   9
  5   6.5
  ;

param u :=
  1  1000
  2     2.4
  3    60
  4     9.3
  5     7
  ;
