
set MACHINES :=	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11 M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	;
set WAFERS :=	W1	W2	W3	W4	W5	W6	W7	W8  W9	W10	;																	
set WAFERS_sub1 :=	W1	W2	W3	W4	W5	W6	;																					
set WAFERS_sub2 :=	W7	W8	W9	W10	;																							
set STEPS :=	S1	S2	S3	S4	S5	S6	S7	;																				
set STEPS_sub1 :=	S1	S2	S3	S4	;																							
																				

#Data_deterministic

param B:= 6;

param Cap := 
M1	800
M2	800
M3	800
M4	800
M5	800
M6	800
M7	800
M8	800
M9	800
M10	800
M11	800
M12	800
M13	800
M14	800
M15	800
M16	800
M17	800
M18	800
M19	800
M20	800
M21	800
M22	800
M23	800
M24	800
M25	800
M26	800
M27	800 ;

#NOTE: X_RP or X_EV only necessary when fixing X
#NOTE: HAD TO ADJUST X_RP, X_EV down 0.01 due to rounding issues ??
#X_RP - M13 from  0.937 to 0.936, X_EV - M13 from 1.816 to 1.814	
param X_RP default 0.0 :=	
M7	0.721
M6 	0.254
M1	0.598
M2	0.642
M8	0.900
M26	0.078
M21	0.078
M11	0.112
M10	0.089
M13	0.936
M15	0.396
M14	0.578
M16	0.617
;

param X_EV default 0.0 :=	
M1	0.491
M2	0.816
M7	0.451
M8	0.595
M10	0.21
M11	0.234
M13	1.814
M16	0.701
M21	0.362
M27	0.325
;

#Data_stochastic



#Sample production times7
param ProdTime default 0.0 :=
W1 S1 M1 6.25
W1 S2 M4 1.5
W1 S4 M8 3.0
W1 S1 M2 5.25
W1 S2 M5 1.5
W1 S4 M9 5.0
W1 S1 M27 3.0
W1 S3 M6 6.25
W1 S4 M10 3.0
W1 S2 M3 2.25
W1 S3 M7 5.0
W2 S1 M2 4.5
W2 S3 M11 2.25
W2 S2 M3 3.75
W2 S3 M12 3.75
W2 S2 M4 1.5
W2 S4 M13 4.5
W2 S1 M1 3.0
W2 S2 M5 1.5
W2 S4 M14 5.25
W3 S1 M15 3.75
W3 S3 M6 3.75
W3 S1 M16 7.5
W3 S3 M7 3.75
W3 S2 M17 3.0
W3 S4 M8 3.75
W3 S2 M18 2.25
W3 S4 M10 3.75
W4 S1 M1 8.75
W4 S2 M18 3.0
W4 S4 M14 6.0
W4 S1 M15 6.25
W4 S3 M11 3.75
W4 S1 M27 3.0
W4 S3 M12 2.25
W4 S2 M3 3.75
W4 S4 M13 4.5
W5 S2 M4 1.5
W5 S4 M8 6.0
W5 S1 M2 6.0
W5 S2 M5 2.25
W5 S4 M14 11.25
W5 S1 M16 8.75
W5 S3 M6 6.25
W5 S2 M3 2.25
W5 S3 M7 4.5
W6 S1 M16 8.75
W6 S3 M19 7.5
W6 S2 M4 3.75
W6 S3 M20 8.25
W6 S1 M2 3.0
W6 S2 M5 2.5
W6 S4 M21 3.75
W6 S1 M15 6.25
W6 S2 M17 3.0
W6 S4 M22 5.0
W7 S1 M15 3.75
W7 S2 M5 6.25
W7 S4 M22 5.0
W7 S6 M18 5.0
W7 S1 M16 2.5
W7 S3 M23 2.5
W7 S5 M1 4.5
W7 S7 M8 4.5
W7 S2 M3 6.25
W7 S3 M24 1.5
W7 S5 M2 3.75
W7 S7 M10 6.25
W7 S2 M4 5.0
W7 S4 M21 3.75
W7 S6 M17 3.75
W8 S1 M2 2.25
W8 S2 M24 12.5
W8 S4 M9 5.0
W8 S6 M21 3.75
W8 S1 M15 2.25
W8 S3 M11 2.25
W8 S4 M10 3.75
W8 S6 M22 6.25
W8 S1 M16 2.25
W8 S3 M12 5.25
W8 S5 M25 4.5
W8 S7 M13 6.25
W8 S1 M1 2.25
W8 S2 M23 7.5
W8 S4 M8 10.0
W8 S5 M26 5.0
W8 S7 M14 8.75
W9 S1 M1 3.75
W9 S3 M6 4.5
W9 S5 M3 3.0
W9 S7 M21 5.0
W9 S1 M15 7.5
W9 S3 M11 5.0
W9 S5 M5 2.25
W9 S7 M22 3.75
W9 S2 M3 2.25
W9 S4 M25 5.25
W9 S6 M8 5.0
W9 S2 M17 2.25
W9 S4 M26 6.25
W9 S6 M14 7.5
W10 S2 M4 1.5
W10 S4 M12 5.0
W10 S6 M26 3.0
W10 S2 M18 3.75
W10 S5 M4 1.5
W10 S7 M8 10.0
W10 S1 M2 6.75
W10 S3 M7 3.75
W10 S5 M5 3.0
W10 S7 M9 5.25
W10 S1 M16 10.0
W10 S4 M11 2.25
W10 S6 M25 5.25
W10 S7 M10 7.5
;

#Wafer demands7
param Demand default 0.0 :=
W1 150
W2 150
W3 125
W4 150
W5 125
W6 125
W7 100
W8 125
W9 150
W10 75
;
