
set MACHINES :=	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11 M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	;
set WAFERS :=	W1	W2	W3	W4	W5	W6	W7	W8  W9	W10	;																	
set WAFERS_sub1 :=	W1	W2	W3	W4	W5	W6	;																					
set WAFERS_sub2 :=	W7	W8	W9	W10	;																							
set STEPS :=	S1	S2	S3	S4	S5	S6	S7	;																				
set STEPS_sub1 :=	S1	S2	S3	S4	;																							
																				

#Data_deterministic

param B:= 6;

param Cap := 
M1	800
M2	800
M3	800
M4	800
M5	800
M6	800
M7	800
M8	800
M9	800
M10	800
M11	800
M12	800
M13	800
M14	800
M15	800
M16	800
M17	800
M18	800
M19	800
M20	800
M21	800
M22	800
M23	800
M24	800
M25	800
M26	800
M27	800 ;




#Data_stochastic

param ProdTime default 0.0 := 
W1	S1	M1	5
W1	S1	M2	7
W1	S1	M27	4
W1	S2	M3	3
W1	S2	M4	2
W1	S2	M5	2
W1	S3	M6	5
W1	S3	M7	4
W1	S4	M8	4
W1	S4	M9	4
W1	S4	M10	4
W2	S1	M1	4
W2	S1	M2	6
W2	S2	M3	3
W2	S2	M4	2
W2	S2	M5	2
W2	S3	M11	3
W2	S3	M12	3
W2	S4	M13	6
W2	S4	M14	7
W3	S1	M15	5
W3	S1	M16	6
W3	S2	M17	4
W3	S2	M18	3
W3	S3	M6	5
W3	S3	M7	5
W3	S4	M8	3
W3	S4	M10	5
W4	S1	M1	7
W4	S1	M15	5
W4	S1	M27	4
W4	S2	M3	3
W4	S2	M18	4
W4	S3	M11	5
W4	S3	M12	3
W4	S4	M13	6
W4	S4	M14	8
W5	S1	M2	8
W5	S1	M16	7
W5	S2	M3	3
W5	S2	M4	2
W5	S2	M5	3
W5	S3	M6	5
W5	S3	M7	6
W5	S4	M8	8
W5	S4	M14	9
W6	S1	M2	4
W6	S1	M15	5
W6	S1	M16	7
W6	S2	M4	3
W6	S2	M5	2
W6	S2	M17	4
W6	S3	M19	10
W6	S3	M20	11
W6	S4	M21	3
W6	S4	M22	4
W7	S1	M15	3
W7	S1	M16	2
W7	S2	M3	5
W7	S2	M4	4
W7	S2	M5	5
W7	S3	M23	2
W7	S3	M24	2
W7	S4	M21	3
W7	S4	M22	4
W7	S5	M1	6
W7	S5	M2	5
W7	S6	M17	3
W7	S6	M18	4
W7	S7	M8	6
W7	S7	M10	5
W8	S1	M1	3
W8	S1	M2	3
W8	S1	M15	3
W8	S1	M16	3
W8	S2	M23	6
W8	S2	M24	10
W8	S3	M11	3
W8	S3	M12	7
W8	S4	M8	8
W8	S4	M9	4
W8	S4	M10	3
W8	S5	M25	6
W8	S5	M26	4
W8	S6	M21	3
W8	S6	M22	5
W8	S7	M13	5
W8	S7	M14	7
W9	S1	M1	5
W9	S1	M15	6
W9	S2	M3	3
W9	S2	M17	3
W9	S3	M6	6
W9	S3	M11	4
W9	S4	M25	7
W9	S4	M26	5
W9	S5	M3	4
W9	S5	M5	3
W9	S6	M8	4
W9	S6	M14	6
W9	S7	M21	4
W9	S7	M22	5
W10	S1	M2	9
W10	S1	M16	8
W10	S2	M4	2
W10	S2	M18	3
W10	S3	M7	5
W10	S4	M11	3
W10	S4	M12	4
W10	S5	M4	2
W10	S5	M5	4
W10	S6	M25	7
W10	S6	M26	4
W10	S7	M8	8
W10	S7	M9	7
W10	S7	M10	6;

param Demand :=
W1	132.5
W2	132.5
W3	132.5
W4	132.5
W5	132.5
W6	132.5
W7	132.5
W8	132.5
W9	132.5
W10	132.5 ;

